
D:\CVE-2026-43499\vmlinux_extracted:	file format elf64-littleaarch64

Disassembly of section .kernel:

ffffffc0803e018c <do_select>:
ffffffc0803e018c: d503233f     	paciasp
ffffffc0803e036c: a90c7fff     	stp	xzr, xzr, [sp, #0xc0]
ffffffc0803e0370: 97f6a595     	bl	0xffffffc0801899c4 <ktime_get_ts64>
ffffffc0803e0374: f9400be9     	ldr	x9, [sp, #0x10]
ffffffc0803e0378: a94c2fea     	ldp	x10, x11, [sp, #0xc0]
ffffffc0803e037c: 910343e0     	add	x0, sp, #0xd0
ffffffc0803e0380: a90d7fff     	stp	xzr, xzr, [sp, #0xd0]
ffffffc0803e0384: a9402528     	ldp	x8, x9, [x9]
ffffffc0803e0388: cb0a0101     	sub	x1, x8, x10
ffffffc0803e038c: cb0b0122     	sub	x2, x9, x11
ffffffc0803e0390: 97f685d0     	bl	0xffffffc080181ad0 <set_normalized_timespec64>
ffffffc0803e0394: f9406be8     	ldr	x8, [sp, #0xd0]
ffffffc0803e0398: b7f80388     	tbnz	x8, #0x3f, 0xffffffc0803e0408 <do_select+0x27c>
ffffffc0803e039c: b9408a69     	ldr	w9, [x19, #0x88]
ffffffc0803e03a0: 5280190a     	mov	w10, #0xc8      // =200
ffffffc0803e03a4: 5101e129     	sub	w9, w9, #0x78
ffffffc0803e03a8: 7100013f     	cmp	w9, #0x0
ffffffc0803e03ac: 52807d09     	mov	w9, #0x3e8      // =1000
ffffffc0803e03b0: 9a89c14a     	csel	x10, x10, x9, gt
ffffffc0803e03b4: 52994009     	mov	w9, #0xca00     // =51712
ffffffc0803e03b8: 72a77349     	movk	w9, #0x3b9a, lsl #16
ffffffc0803e03bc: 1aca092b     	udiv	w11, w9, w10
ffffffc0803e03c0: 529c2009     	mov	w9, #0xe100     // =57600
ffffffc0803e03c4: 72a0bea9     	movk	w9, #0x5f5, lsl #16
ffffffc0803e03c8: 1acb092c     	udiv	w12, w9, w11
ffffffc0803e03cc: eb0c011f     	cmp	x8, x12
ffffffc0803e03d0: 540001e8     	b.hi	0xffffffc0803e040c <do_select+0x280>
ffffffc0803e03d4: f9406fe9     	ldr	x9, [sp, #0xd8]
ffffffc0803e03d8: 9aca0d29     	sdiv	x9, x9, x10
ffffffc0803e03dc: 9b0b2508     	madd	x8, x8, x11, x9
ffffffc0803e03e0: 529c2009     	mov	w9, #0xe100     // =57600
ffffffc0803e03e4: 72a0bea9     	movk	w9, #0x5f5, lsl #16
ffffffc0803e03e8: eb09011f     	cmp	x8, x9
ffffffc0803e03ec: 9a89b109     	csel	x9, x8, x9, lt
ffffffc0803e03f0: 14000007     	b	0xffffffc0803e040c <do_select+0x280>
ffffffc0803e03f4: b9002fff     	str	wzr, [sp, #0x2c]
ffffffc0803e03f8: f90003ff     	str	xzr, [sp]
ffffffc0803e03fc: 14000009     	b	0xffffffc0803e0420 <do_select+0x294>
ffffffc0803e0400: f90003ff     	str	xzr, [sp]
ffffffc0803e0404: 14000006     	b	0xffffffc0803e041c <do_select+0x290>
ffffffc0803e0408: aa1f03e9     	mov	x9, xzr
ffffffc0803e040c: f9457a68     	ldr	x8, [x19, #0xaf0]
ffffffc0803e0410: eb08013f     	cmp	x9, x8
ffffffc0803e0414: 9a888128     	csel	x8, x9, x8, hi
ffffffc0803e0418: f90003e8     	str	x8, [sp]
ffffffc0803e041c: b9002fff     	str	wzr, [sp, #0x2c]
ffffffc0803e0420: a901fff4     	stp	x20, xzr, [sp, #0x18]
ffffffc0803e0424: f90007ff     	str	xzr, [sp, #0x8]
ffffffc0803e0428: b9003ff7     	str	w23, [sp, #0x3c]
ffffffc0803e042c: 34001317     	cbz	w23, 0xffffffc0803e068c <do_select+0x500>
ffffffc0803e0430: a9422a8b     	ldp	x11, x10, [x20, #0x20]
ffffffc0803e0434: 2a1f03f8     	mov	w24, wzr
ffffffc0803e0438: a941328d     	ldp	x13, x12, [x20, #0x10]
ffffffc0803e043c: 2a1f03e9     	mov	w9, wzr
ffffffc0803e0440: a9403a8f     	ldp	x15, x14, [x20]
ffffffc0803e0444: 2a1f03fc     	mov	w28, wzr
ffffffc0803e0448: 14000007     	b	0xffffffc0803e0464 <do_select+0x2d8>
ffffffc0803e044c: 11010129     	add	w9, w9, #0x40
ffffffc0803e0450: 6b17013f     	cmp	w9, w23
ffffffc0803e0454: 9100218c     	add	x12, x12, #0x8
ffffffc0803e0458: 9100216b     	add	x11, x11, #0x8
ffffffc0803e045c: 9100214a     	add	x10, x10, #0x8
ffffffc0803e0460: 540011aa     	b.ge	0xffffffc0803e0694 <do_select+0x508>
ffffffc0803e0464: f84085e8     	ldr	x8, [x15], #0x8
ffffffc0803e0468: f84085d0     	ldr	x16, [x14], #0x8
ffffffc0803e046c: f84085b1     	ldr	x17, [x13], #0x8
ffffffc0803e0470: a908a3f0     	stp	x16, x8, [sp, #0x88]
ffffffc0803e0474: aa080208     	orr	x8, x16, x8
ffffffc0803e0478: aa110108     	orr	x8, x8, x17
ffffffc0803e047c: f90043f1     	str	x17, [sp, #0x80]
ffffffc0803e0480: f90057e8     	str	x8, [sp, #0xa8]
ffffffc0803e0484: b4fffe48     	cbz	x8, 0xffffffc0803e044c <do_select+0x2c0>
ffffffc0803e0488: 2a1703e8     	mov	w8, w23
ffffffc0803e048c: aa1f03f5     	mov	x21, xzr
ffffffc0803e0490: aa1f03f1     	mov	x17, xzr
ffffffc0803e0494: 6b08013f     	cmp	w9, w8
ffffffc0803e0498: aa1f03e0     	mov	x0, xzr
ffffffc0803e049c: aa1f03f7     	mov	x23, xzr
ffffffc0803e04a0: 1a88c128     	csel	w8, w9, w8, gt
ffffffc0803e04a4: 52800034     	mov	w20, #0x1       // =1
ffffffc0803e04a8: a9043bef     	stp	x15, x14, [sp, #0x40]
ffffffc0803e04ac: 4b090108     	sub	w8, w8, w9
ffffffc0803e04b0: a90533ed     	stp	x13, x12, [sp, #0x50]
ffffffc0803e04b4: f90053e8     	str	x8, [sp, #0xa0]
ffffffc0803e04b8: 2a0903e8     	mov	w8, w9
ffffffc0803e04bc: a9062beb     	stp	x11, x10, [sp, #0x60]
ffffffc0803e04c0: b90077e9     	str	w9, [sp, #0x74]
ffffffc0803e04c4: f9003fe8     	str	x8, [sp, #0x78]
ffffffc0803e04c8: 14000007     	b	0xffffffc0803e04e4 <do_select+0x358>
ffffffc0803e04cc: 2a1f03f6     	mov	w22, wzr
ffffffc0803e04d0: 2a1f03f8     	mov	w24, wzr
ffffffc0803e04d4: 910006f7     	add	x23, x23, #0x1
ffffffc0803e04d8: d37ffa94     	lsl	x20, x20, #1
ffffffc0803e04dc: f10102ff     	cmp	x23, #0x40
ffffffc0803e04e0: 54000bc0     	b.eq	0xffffffc0803e0658 <do_select+0x4cc>
ffffffc0803e04e4: f94053e8     	ldr	x8, [sp, #0xa0]
ffffffc0803e04e8: eb17011f     	cmp	x8, x23
ffffffc0803e04ec: 54000b60     	b.eq	0xffffffc0803e0658 <do_select+0x4cc>
ffffffc0803e04f0: f94057e8     	ldr	x8, [sp, #0xa8]
ffffffc0803e04f4: ea08029f     	tst	x20, x8
ffffffc0803e04f8: 54fffee0     	b.eq	0xffffffc0803e04d4 <do_select+0x348>
ffffffc0803e04fc: f9403fe8     	ldr	x8, [sp, #0x78]
ffffffc0803e0500: f9005be0     	str	x0, [sp, #0xb0]
ffffffc0803e0504: aa1103fb     	mov	x27, x17
ffffffc0803e0508: 8b170100     	add	x0, x8, x23
ffffffc0803e050c: 94003a30     	bl	0xffffffc0803eedcc <__fdget>
ffffffc0803e0510: f9404be8     	ldr	x8, [sp, #0x90]
ffffffc0803e0514: f27ef419     	ands	x25, x0, #0xfffffffffffffffc
ffffffc0803e0518: 291363f6     	stp	w22, w24, [sp, #0x98]
ffffffc0803e051c: 8a080293     	and	x19, x20, x8
ffffffc0803e0520: 540003c0     	b.eq	0xffffffc0803e0598 <do_select+0x40c>
ffffffc0803e0524: f100027f     	cmp	x19, #0x0
ffffffc0803e0528: 52800448     	mov	w8, #0x22       // =34
ffffffc0803e052c: 52801f69     	mov	w9, #0xfb       // =251
ffffffc0803e0530: 1a890108     	csel	w8, w8, w9, eq
ffffffc0803e0534: f9406329     	ldr	x9, [x25, #0xc0]
ffffffc0803e0538: aa0003fa     	mov	x26, x0
ffffffc0803e053c: 2a16010a     	orr	w10, w8, w22
ffffffc0803e0540: f94047e8     	ldr	x8, [sp, #0x88]
ffffffc0803e0544: ea080296     	ands	x22, x20, x8
ffffffc0803e0548: 52806588     	mov	w8, #0x32c      // =812
ffffffc0803e054c: 2a08014b     	orr	w11, w10, w8
ffffffc0803e0550: f9402128     	ldr	x8, [x9, #0x40]
ffffffc0803e0554: 1a8b0149     	csel	w9, w10, w11, eq
ffffffc0803e0558: b900ebe9     	str	w9, [sp, #0xe8]
ffffffc0803e055c: b4000788     	cbz	x8, 0xffffffc0803e064c <do_select+0x4c0>
ffffffc0803e0560: 910383e1     	add	x1, sp, #0xe0
ffffffc0803e0564: aa1903e0     	mov	x0, x25
ffffffc0803e0568: b85fc110     	ldur	w16, [x8, #-0x4]
ffffffc0803e056c: 7294c3d1     	movk	w17, #0xa61e
ffffffc0803e0570: 72b0bcb1     	movk	w17, #0x85e5, lsl #16
ffffffc0803e0574: 6b11021f     	cmp	w16, w17
ffffffc0803e0578: 54000040     	b.eq	0xffffffc0803e0580 <do_select+0x3f4>
ffffffc0803e057c: d4304500     	brk	#0x8228
ffffffc0803e0580: d63f0100     	blr	x8
ffffffc0803e0584: 2a0003f8     	mov	w24, w0
ffffffc0803e0588: 360000fa     	tbz	w26, #0x0, 0xffffffc0803e05a4 <do_select+0x418>
ffffffc0803e058c: aa1903e0     	mov	x0, x25
ffffffc0803e0590: 97ff91f6     	bl	0xffffffc0803c4d68 <fput>
ffffffc0803e0594: 14000004     	b	0xffffffc0803e05a4 <do_select+0x418>
ffffffc0803e0598: f94047e8     	ldr	x8, [sp, #0x88]
ffffffc0803e059c: 52800418     	mov	w24, #0x20      // =32
ffffffc0803e05a0: 8a080296     	and	x22, x20, x8
ffffffc0803e05a4: 52801f28     	mov	w8, #0xf9       // =249
ffffffc0803e05a8: 5280658a     	mov	w10, #0x32c     // =812
ffffffc0803e05ac: 5280044c     	mov	w12, #0x22      // =34
ffffffc0803e05b0: 6a08031f     	tst	w24, w8
ffffffc0803e05b4: f94043ed     	ldr	x13, [sp, #0x80]
ffffffc0803e05b8: f9405be0     	ldr	x0, [sp, #0xb0]
ffffffc0803e05bc: 1a9f07e8     	cset	w8, ne
ffffffc0803e05c0: f100027f     	cmp	x19, #0x0
ffffffc0803e05c4: aa1b03f1     	mov	x17, x27
ffffffc0803e05c8: 1a9f07e9     	cset	w9, ne
ffffffc0803e05cc: 6a090109     	ands	w9, w8, w9
ffffffc0803e05d0: 9a9f1288     	csel	x8, x20, xzr, ne
ffffffc0803e05d4: 6a0a031f     	tst	w24, w10
ffffffc0803e05d8: 1a9f07ea     	cset	w10, ne
ffffffc0803e05dc: f10002df     	cmp	x22, #0x0
ffffffc0803e05e0: 1a9f07eb     	cset	w11, ne
ffffffc0803e05e4: 6a0b014b     	ands	w11, w10, w11
ffffffc0803e05e8: 9a9f128a     	csel	x10, x20, xzr, ne
ffffffc0803e05ec: 6a0c031f     	tst	w24, w12
ffffffc0803e05f0: 1a9f07ec     	cset	w12, ne
ffffffc0803e05f4: ea0d029f     	tst	x20, x13
ffffffc0803e05f8: 1a9f07ed     	cset	w13, ne
ffffffc0803e05fc: 6a0d018d     	ands	w13, w12, w13
ffffffc0803e0600: 9a9f128c     	csel	x12, x20, xzr, ne
ffffffc0803e0604: 3700006d     	tbnz	w13, #0x0, 0xffffffc0803e0610 <do_select+0x484>
ffffffc0803e0608: 37000049     	tbnz	w9, #0x0, 0xffffffc0803e0610 <do_select+0x484>
ffffffc0803e060c: 3600004b     	tbz	w11, #0x0, 0xffffffc0803e0614 <do_select+0x488>
ffffffc0803e0610: f90073ff     	str	xzr, [sp, #0xe0]
ffffffc0803e0614: 0b090389     	add	w9, w28, w9
ffffffc0803e0618: 0b0d016b     	add	w11, w11, w13
ffffffc0803e061c: aa000100     	orr	x0, x8, x0
ffffffc0803e0620: 0b0b013c     	add	w28, w9, w11
ffffffc0803e0624: aa110151     	orr	x17, x10, x17
ffffffc0803e0628: aa150195     	orr	x21, x12, x21
ffffffc0803e062c: 35fff51c     	cbnz	w28, 0xffffffc0803e04cc <do_select+0x340>
ffffffc0803e0630: b9409bfb     	ldr	w27, [sp, #0x98]
ffffffc0803e0634: 6a1b031f     	tst	w24, w27
ffffffc0803e0638: b9409ff8     	ldr	w24, [sp, #0x9c]
ffffffc0803e063c: 2a1b03f6     	mov	w22, w27
ffffffc0803e0640: 1a9f07e8     	cset	w8, ne
ffffffc0803e0644: 2a180118     	orr	w24, w8, w24
ffffffc0803e0648: 17ffffa3     	b	0xffffffc0803e04d4 <do_select+0x348>
ffffffc0803e064c: 528028b8     	mov	w24, #0x145     // =325
ffffffc0803e0650: 3707f9fa     	tbnz	w26, #0x0, 0xffffffc0803e058c <do_select+0x400>
ffffffc0803e0654: 17ffffd4     	b	0xffffffc0803e05a4 <do_select+0x418>
ffffffc0803e0658: b94077e9     	ldr	w9, [sp, #0x74]
ffffffc0803e065c: a9462beb     	ldp	x11, x10, [sp, #0x60]
ffffffc0803e0660: a94533ed     	ldp	x13, x12, [sp, #0x50]
ffffffc0803e0664: a9443bef     	ldp	x15, x14, [sp, #0x40]
ffffffc0803e0668: 0b170129     	add	w9, w9, w23
ffffffc0803e066c: b9403ff7     	ldr	w23, [sp, #0x3c]
ffffffc0803e0670: b4000040     	cbz	x0, 0xffffffc0803e0678 <do_select+0x4ec>
ffffffc0803e0674: f9000180     	str	x0, [x12]
ffffffc0803e0678: b4000051     	cbz	x17, 0xffffffc0803e0680 <do_select+0x4f4>
ffffffc0803e067c: f9000171     	str	x17, [x11]
ffffffc0803e0680: b4ffee95     	cbz	x21, 0xffffffc0803e0450 <do_select+0x2c4>
ffffffc0803e0684: f9000155     	str	x21, [x10]
ffffffc0803e0688: 17ffff72     	b	0xffffffc0803e0450 <do_select+0x2c4>
ffffffc0803e068c: 2a1f03fc     	mov	w28, wzr
ffffffc0803e0690: 2a1f03f8     	mov	w24, wzr
ffffffc0803e0694: b9402fe8     	ldr	w8, [sp, #0x2c]
ffffffc0803e0698: f90073ff     	str	xzr, [sp, #0xe0]
ffffffc0803e069c: 2a080388     	orr	w8, w28, w8
ffffffc0803e06a0: 35000848     	cbnz	w8, 0xffffffc0803e07a8 <do_select+0x61c>
ffffffc0803e06a4: f9401be9     	ldr	x9, [sp, #0x30]
ffffffc0803e06a8: f9400128     	ldr	x8, [x9]
ffffffc0803e06ac: 373007c8     	tbnz	w8, #0x6, 0xffffffc0803e07a4 <do_select+0x618>
ffffffc0803e06b0: f9400128     	ldr	x8, [x9]
ffffffc0803e06b4: 37000788     	tbnz	w8, #0x0, 0xffffffc0803e07a4 <do_select+0x618>
ffffffc0803e06b8: b94107fc     	ldr	w28, [sp, #0x104]
ffffffc0803e06bc: 3500077c     	cbnz	w28, 0xffffffc0803e07a8 <do_select+0x61c>
ffffffc0803e06c0: f9400ff4     	ldr	x20, [sp, #0x18]
ffffffc0803e06c4: f9401bf5     	ldr	x21, [sp, #0x30]
ffffffc0803e06c8: 360001d8     	tbz	w24, #0x0, 0xffffffc0803e0700 <do_select+0x574>
ffffffc0803e06cc: f94002a8     	ldr	x8, [x21]
ffffffc0803e06d0: 37080188     	tbnz	w8, #0x1, 0xffffffc0803e0700 <do_select+0x574>
ffffffc0803e06d4: f94013e8     	ldr	x8, [sp, #0x20]
ffffffc0803e06d8: b40005c8     	cbz	x8, 0xffffffc0803e0790 <do_select+0x604>
ffffffc0803e06dc: f000e768     	adrp	x8, 0xffffffc0820cf000 <xhci_pci_hc_driver+0x180>
ffffffc0803e06e0: b94c6d08     	ldr	w8, [x8, #0xc6c]
ffffffc0803e06e4: 340000e8     	cbz	w8, 0xffffffc0803e0700 <do_select+0x574>
ffffffc0803e06e8: f94013e9     	ldr	x9, [sp, #0x20]
ffffffc0803e06ec: 8b080133     	add	x19, x9, x8
ffffffc0803e06f0: 97f6a3de     	bl	0xffffffc080189668 <ktime_get>
ffffffc0803e06f4: eb402a7f     	cmp	x19, x0, lsr #10
ffffffc0803e06f8: b9002fff     	str	wzr, [sp, #0x2c]
ffffffc0803e06fc: 54ffe982     	b.hs	0xffffffc0803e042c <do_select+0x2a0>
ffffffc0803e0700: f9400be8     	ldr	x8, [sp, #0x10]
ffffffc0803e0704: b4000228     	cbz	x8, 0xffffffc0803e0748 <do_select+0x5bc>
ffffffc0803e0708: f94007e8     	ldr	x8, [sp, #0x8]
ffffffc0803e070c: b50001e8     	cbnz	x8, 0xffffffc0803e0748 <do_select+0x5bc>
ffffffc0803e0710: f9400be9     	ldr	x9, [sp, #0x10]
ffffffc0803e0714: 5299400a     	mov	w10, #0xca00    // =51712
ffffffc0803e0718: 72a7734a     	movk	w10, #0x3b9a, lsl #16
ffffffc0803e071c: a9402528     	ldp	x8, x9, [x9]
ffffffc0803e0720: 9b0a2509     	madd	x9, x8, x10, x9
ffffffc0803e0724: d28fa06a     	mov	x10, #0x7d03    // =32003
ffffffc0803e0728: f2a4b82a     	movk	x10, #0x25c1, lsl #16
ffffffc0803e072c: f2c0004a     	movk	x10, #0x2, lsl #32
ffffffc0803e0730: eb0a011f     	cmp	x8, x10
ffffffc0803e0734: 92f00008     	mov	x8, #0x7fffffffffffffff // =9223372036854775807
ffffffc0803e0738: 9a89c108     	csel	x8, x8, x9, gt
ffffffc0803e073c: f9005fe8     	str	x8, [sp, #0xb8]
ffffffc0803e0740: 9102e3e8     	add	x8, sp, #0xb8
ffffffc0803e0744: f90007e8     	str	x8, [sp, #0x8]
ffffffc0803e0748: 52800028     	mov	w8, #0x1        // =1
ffffffc0803e074c: b90032a8     	str	w8, [x21, #0x30]
ffffffc0803e0750: d5033bbf     	dmb	ish
ffffffc0803e0754: b94103e8     	ldr	w8, [sp, #0x100]
ffffffc0803e0758: 34000068     	cbz	w8, 0xffffffc0803e0764 <do_select+0x5d8>
ffffffc0803e075c: 12800060     	mov	w0, #-0x4       // =-4
ffffffc0803e0760: 14000004     	b	0xffffffc0803e0770 <do_select+0x5e4>
ffffffc0803e0764: a94003e1     	ldp	x1, x0, [sp]
ffffffc0803e0768: 2a1f03e2     	mov	w2, wzr
ffffffc0803e076c: 9431cd24     	bl	0xffffffc081053bfc <schedule_hrtimeout_range>
ffffffc0803e0770: b90032bf     	str	wzr, [x21, #0x30]
ffffffc0803e0774: 7100001f     	cmp	w0, #0x0
ffffffc0803e0778: 2a1f03f6     	mov	w22, wzr
ffffffc0803e077c: b90103ff     	str	wzr, [sp, #0x100]
ffffffc0803e0780: 1a9f17e8     	cset	w8, eq
ffffffc0803e0784: d5033bbf     	dmb	ish
ffffffc0803e0788: b9002fe8     	str	w8, [sp, #0x2c]
ffffffc0803e078c: 17ffff28     	b	0xffffffc0803e042c <do_select+0x2a0>
